Fiscal Year,County,Region,Type of Allegation,Allegation Count
2022,Armstrong,1-Lubbock,Neglectful Supervision,11
2022,Armstrong,1-Lubbock,Physical Abuse,5
2022,Armstrong,1-Lubbock,Sexual Abuse,1
2022,Bailey,1-Lubbock,Emotional Abuse,1
2022,Bailey,1-Lubbock,Neglectful Supervision,50
2022,Bailey,1-Lubbock,Physical Abuse,19
2022,Bailey,1-Lubbock,Physical Neglect,9
2022,Bailey,1-Lubbock,Sexual Abuse,15
2022,Briscoe,1-Lubbock,Neglectful Supervision,8
2022,Briscoe,1-Lubbock,Physical Abuse,2
2022,Briscoe,1-Lubbock,Physical Neglect,1
2022,Briscoe,1-Lubbock,Sexual Abuse,1
2022,Carson,1-Lubbock,Emotional Abuse,1
2022,Carson,1-Lubbock,Medical Neglect,4
2022,Carson,1-Lubbock,Neglectful Supervision,31
2022,Carson,1-Lubbock,Physical Abuse,12
2022,Carson,1-Lubbock,Physical Neglect,3
2022,Carson,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Carson,1-Lubbock,Sexual Abuse,12
2022,Castro,1-Lubbock,Emotional Abuse,5
2022,Castro,1-Lubbock,Labor Trafficking,1
2022,Castro,1-Lubbock,Medical Neglect,8
2022,Castro,1-Lubbock,Neglectful Supervision,45
2022,Castro,1-Lubbock,Physical Abuse,19
2022,Castro,1-Lubbock,Physical Neglect,6
2022,Castro,1-Lubbock,Sexual Abuse,13
2022,Childress,1-Lubbock,Emotional Abuse,1
2022,Childress,1-Lubbock,Neglectful Supervision,65
2022,Childress,1-Lubbock,Physical Abuse,18
2022,Childress,1-Lubbock,Physical Neglect,7
2022,Childress,1-Lubbock,Sexual Abuse,27
2022,Cochran,1-Lubbock,Medical Neglect,1
2022,Cochran,1-Lubbock,Neglectful Supervision,18
2022,Cochran,1-Lubbock,Physical Abuse,3
2022,Cochran,1-Lubbock,Physical Neglect,3
2022,Cochran,1-Lubbock,Sexual Abuse,5
2022,Collingsworth,1-Lubbock,Abandonment,1
2022,Collingsworth,1-Lubbock,Emotional Abuse,2
2022,Collingsworth,1-Lubbock,Medical Neglect,1
2022,Collingsworth,1-Lubbock,Neglectful Supervision,37
2022,Collingsworth,1-Lubbock,Physical Abuse,7
2022,Collingsworth,1-Lubbock,Physical Neglect,2
2022,Collingsworth,1-Lubbock,Sexual Abuse,14
2022,Crosby,1-Lubbock,Emotional Abuse,3
2022,Crosby,1-Lubbock,Medical Neglect,4
2022,Crosby,1-Lubbock,Neglectful Supervision,53
2022,Crosby,1-Lubbock,Physical Abuse,18
2022,Crosby,1-Lubbock,Physical Neglect,8
2022,Crosby,1-Lubbock,Refusal To Accept Parental Responsibility,2
2022,Crosby,1-Lubbock,Sexual Abuse,14
2022,Dallam,1-Lubbock,Emotional Abuse,4
2022,Dallam,1-Lubbock,Medical Neglect,7
2022,Dallam,1-Lubbock,Neglectful Supervision,56
2022,Dallam,1-Lubbock,Physical Abuse,26
2022,Dallam,1-Lubbock,Physical Neglect,14
2022,Dallam,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Dallam,1-Lubbock,Sex Trafficking,1
2022,Dallam,1-Lubbock,Sexual Abuse,29
2022,Deaf Smith,1-Lubbock,Emotional Abuse,13
2022,Deaf Smith,1-Lubbock,Medical Neglect,15
2022,Deaf Smith,1-Lubbock,Neglectful Supervision,160
2022,Deaf Smith,1-Lubbock,Physical Abuse,56
2022,Deaf Smith,1-Lubbock,Physical Neglect,19
2022,Deaf Smith,1-Lubbock,Refusal To Accept Parental Responsibility,3
2022,Deaf Smith,1-Lubbock,Sexual Abuse,58
2022,Dickens,1-Lubbock,Emotional Abuse,1
2022,Dickens,1-Lubbock,Neglectful Supervision,9
2022,Dickens,1-Lubbock,Physical Abuse,4
2022,Dickens,1-Lubbock,Sexual Abuse,3
2022,Donley,1-Lubbock,Medical Neglect,1
2022,Donley,1-Lubbock,Neglectful Supervision,44
2022,Donley,1-Lubbock,Physical Abuse,18
2022,Donley,1-Lubbock,Physical Neglect,7
2022,Donley,1-Lubbock,Sexual Abuse,11
2022,Floyd,1-Lubbock,Medical Neglect,2
2022,Floyd,1-Lubbock,Neglectful Supervision,36
2022,Floyd,1-Lubbock,Physical Abuse,15
2022,Floyd,1-Lubbock,Physical Neglect,5
2022,Floyd,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Floyd,1-Lubbock,Sexual Abuse,15
2022,Garza,1-Lubbock,Emotional Abuse,2
2022,Garza,1-Lubbock,Medical Neglect,2
2022,Garza,1-Lubbock,Neglectful Supervision,52
2022,Garza,1-Lubbock,Physical Abuse,17
2022,Garza,1-Lubbock,Physical Neglect,3
2022,Garza,1-Lubbock,Sexual Abuse,22
2022,Gray,1-Lubbock,Emotional Abuse,11
2022,Gray,1-Lubbock,Labor Trafficking,1
2022,Gray,1-Lubbock,Medical Neglect,19
2022,Gray,1-Lubbock,Neglectful Supervision,232
2022,Gray,1-Lubbock,Physical Abuse,54
2022,Gray,1-Lubbock,Physical Neglect,30
2022,Gray,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Gray,1-Lubbock,Sexual Abuse,88
2022,Hale,1-Lubbock,Emotional Abuse,12
2022,Hale,1-Lubbock,Medical Neglect,12
2022,Hale,1-Lubbock,Neglectful Supervision,293
2022,Hale,1-Lubbock,Physical Abuse,65
2022,Hale,1-Lubbock,Physical Neglect,48
2022,Hale,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Hale,1-Lubbock,Sex Trafficking,1
2022,Hale,1-Lubbock,Sexual Abuse,100
2022,Hall,1-Lubbock,Medical Neglect,3
2022,Hall,1-Lubbock,Neglectful Supervision,33
2022,Hall,1-Lubbock,Physical Abuse,10
2022,Hall,1-Lubbock,Physical Neglect,11
2022,Hall,1-Lubbock,Sexual Abuse,11
2022,Hansford,1-Lubbock,Abandonment,1
2022,Hansford,1-Lubbock,Emotional Abuse,1
2022,Hansford,1-Lubbock,Medical Neglect,6
2022,Hansford,1-Lubbock,Neglectful Supervision,29
2022,Hansford,1-Lubbock,Physical Abuse,15
2022,Hansford,1-Lubbock,Physical Neglect,1
2022,Hansford,1-Lubbock,Refusal To Accept Parental Responsibility,2
2022,Hansford,1-Lubbock,Sexual Abuse,20
2022,Hartley,1-Lubbock,Emotional Abuse,1
2022,Hartley,1-Lubbock,Medical Neglect,2
2022,Hartley,1-Lubbock,Neglectful Supervision,22
2022,Hartley,1-Lubbock,Physical Abuse,8
2022,Hartley,1-Lubbock,Sexual Abuse,3
2022,Hemphill,1-Lubbock,Emotional Abuse,3
2022,Hemphill,1-Lubbock,Medical Neglect,1
2022,Hemphill,1-Lubbock,Neglectful Supervision,12
2022,Hemphill,1-Lubbock,Physical Neglect,3
2022,Hemphill,1-Lubbock,Sexual Abuse,2
2022,Hockley,1-Lubbock,Abandonment,1
2022,Hockley,1-Lubbock,Emotional Abuse,6
2022,Hockley,1-Lubbock,Medical Neglect,8
2022,Hockley,1-Lubbock,Neglectful Supervision,181
2022,Hockley,1-Lubbock,Physical Abuse,59
2022,Hockley,1-Lubbock,Physical Neglect,43
2022,Hockley,1-Lubbock,Refusal To Accept Parental Responsibility,5
2022,Hockley,1-Lubbock,Sexual Abuse,56
2022,Hutchinson,1-Lubbock,Emotional Abuse,8
2022,Hutchinson,1-Lubbock,Medical Neglect,18
2022,Hutchinson,1-Lubbock,Neglectful Supervision,225
2022,Hutchinson,1-Lubbock,Physical Abuse,79
2022,Hutchinson,1-Lubbock,Physical Neglect,73
2022,Hutchinson,1-Lubbock,Refusal To Accept Parental Responsibility,6
2022,Hutchinson,1-Lubbock,Sexual Abuse,87
2022,King,1-Lubbock,Neglectful Supervision,2
2022,Lamb,1-Lubbock,Emotional Abuse,2
2022,Lamb,1-Lubbock,Medical Neglect,5
2022,Lamb,1-Lubbock,Neglectful Supervision,101
2022,Lamb,1-Lubbock,Physical Abuse,46
2022,Lamb,1-Lubbock,Physical Neglect,18
2022,Lamb,1-Lubbock,Refusal To Accept Parental Responsibility,4
2022,Lamb,1-Lubbock,Sex Trafficking,2
2022,Lamb,1-Lubbock,Sexual Abuse,31
2022,Lipscomb,1-Lubbock,Neglectful Supervision,9
2022,Lipscomb,1-Lubbock,Physical Abuse,1
2022,Lipscomb,1-Lubbock,Physical Neglect,2
2022,Lipscomb,1-Lubbock,Sexual Abuse,4
2022,Lubbock,1-Lubbock,Abandonment,1
2022,Lubbock,1-Lubbock,Emotional Abuse,141
2022,Lubbock,1-Lubbock,Medical Neglect,201
2022,Lubbock,1-Lubbock,Neglectful Supervision,2499
2022,Lubbock,1-Lubbock,Physical Abuse,833
2022,Lubbock,1-Lubbock,Physical Neglect,351
2022,Lubbock,1-Lubbock,Refusal To Accept Parental Responsibility,23
2022,Lubbock,1-Lubbock,Sex Trafficking,3
2022,Lubbock,1-Lubbock,Sexual Abuse,850
2022,Lynn,1-Lubbock,Abandonment,1
2022,Lynn,1-Lubbock,Medical Neglect,6
2022,Lynn,1-Lubbock,Neglectful Supervision,32
2022,Lynn,1-Lubbock,Physical Abuse,10
2022,Lynn,1-Lubbock,Physical Neglect,12
2022,Lynn,1-Lubbock,Sexual Abuse,9
2022,Moore,1-Lubbock,Abandonment,1
2022,Moore,1-Lubbock,Emotional Abuse,7
2022,Moore,1-Lubbock,Medical Neglect,8
2022,Moore,1-Lubbock,Neglectful Supervision,194
2022,Moore,1-Lubbock,Physical Abuse,62
2022,Moore,1-Lubbock,Physical Neglect,35
2022,Moore,1-Lubbock,Refusal To Accept Parental Responsibility,3
2022,Moore,1-Lubbock,Sexual Abuse,62
2022,Motley,1-Lubbock,Neglectful Supervision,3
2022,Motley,1-Lubbock,Physical Abuse,1
2022,Ochiltree,1-Lubbock,Emotional Abuse,3
2022,Ochiltree,1-Lubbock,Medical Neglect,9
2022,Ochiltree,1-Lubbock,Neglectful Supervision,45
2022,Ochiltree,1-Lubbock,Physical Abuse,16
2022,Ochiltree,1-Lubbock,Physical Neglect,9
2022,Ochiltree,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Ochiltree,1-Lubbock,Sexual Abuse,26
2022,Oldham,1-Lubbock,Neglectful Supervision,3
2022,Oldham,1-Lubbock,Physical Abuse,1
2022,Oldham,1-Lubbock,Physical Neglect,1
2022,Oldham,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Oldham,1-Lubbock,Sexual Abuse,6
2022,Parmer,1-Lubbock,Medical Neglect,3
2022,Parmer,1-Lubbock,Neglectful Supervision,45
2022,Parmer,1-Lubbock,Physical Abuse,15
2022,Parmer,1-Lubbock,Physical Neglect,8
2022,Parmer,1-Lubbock,Sexual Abuse,21
2022,Potter,1-Lubbock,Abandonment,6
2022,Potter,1-Lubbock,Emotional Abuse,62
2022,Potter,1-Lubbock,Medical Neglect,132
2022,Potter,1-Lubbock,Neglectful Supervision,1787
2022,Potter,1-Lubbock,Physical Abuse,543
2022,Potter,1-Lubbock,Physical Neglect,285
2022,Potter,1-Lubbock,Refusal To Accept Parental Responsibility,23
2022,Potter,1-Lubbock,Sex Trafficking,5
2022,Potter,1-Lubbock,Sexual Abuse,514
2022,Randall,1-Lubbock,Abandonment,4
2022,Randall,1-Lubbock,Emotional Abuse,33
2022,Randall,1-Lubbock,Labor Trafficking,1
2022,Randall,1-Lubbock,Medical Neglect,65
2022,Randall,1-Lubbock,Neglectful Supervision,1034
2022,Randall,1-Lubbock,Physical Abuse,328
2022,Randall,1-Lubbock,Physical Neglect,126
2022,Randall,1-Lubbock,Refusal To Accept Parental Responsibility,13
2022,Randall,1-Lubbock,Sex Trafficking,4
2022,Randall,1-Lubbock,Sexual Abuse,377
2022,Roberts,1-Lubbock,Medical Neglect,3
2022,Roberts,1-Lubbock,Neglectful Supervision,6
2022,Roberts,1-Lubbock,Physical Abuse,1
2022,Sherman,1-Lubbock,Medical Neglect,1
2022,Sherman,1-Lubbock,Neglectful Supervision,17
2022,Sherman,1-Lubbock,Physical Abuse,11
2022,Sherman,1-Lubbock,Physical Neglect,7
2022,Sherman,1-Lubbock,Refusal To Accept Parental Responsibility,1
2022,Sherman,1-Lubbock,Sexual Abuse,2
2022,Swisher,1-Lubbock,Abandonment,1
2022,Swisher,1-Lubbock,Medical Neglect,3
2022,Swisher,1-Lubbock,Neglectful Supervision,90
2022,Swisher,1-Lubbock,Physical Abuse,11
2022,Swisher,1-Lubbock,Physical Neglect,22
2022,Swisher,1-Lubbock,Sexual Abuse,28
